word	italicized	correct_spelling
Achronim	True	\N
acharonim	True	Achronim
Acharonim	True	Achronim
achronim	True	Achronim
aharonim	True	Achronim
Aharonim	True	Achronim
ahronim	True	Achronim
Ahronim	True	Achronim
akharonim	True	Achronim
Akharonim	True	Achronim
akhronim	True	Achronim
Akhronim	True	Achronim
agudah	True	\N
Agudah	True	\N
ahavah	True	\N
ahava	True	ahavah
akhilah	True	\N
achila	True	akhilah
achilah	True	akhilah
achilla	True	akhilah
achillah	True	akhilah
akhila	True	akhilah
akhilla	True	akhilah
akhillah	True	akhilah
aleinu	False	\N
Alenu	False	aleinu
aliyah	True	\N
aliya	True	aliyah
Alot	True	\N
alot	True	Alot
Amidah	False	\N
amida	False	Amidah
Amida	False	Amidah
amidah	False	Amidah
amirah	True	\N
amira	True	amirah
aninut	True	\N
aninus	True	aninut
arayot	True	\N
arayos	True	arayot
Arukh	True	\N
Aruch	True	Arukh
Asar	True	\N
asar	True	Asar
assar	True	Asar
Assar	True	Asar
Ashkenaz	False	\N
ashkenaz	False	Ashkenaz
Ashkenazi	False	\N
ashkenazi	False	Ashkenazi
ashkenazic	False	Ashkenazi
Ashkenazic	False	Ashkenazi
Ashrei	True	\N
ashrei	True	Ashrei
asiyah	True	\N
asiya	True	asiyah
assur	True	\N
asur	True	assur
assurot	True	\N
assuros	True	assurot
asuros	True	assurot
asurot	True	assurot
Assurot	True	\N
Assuros	True	Assurot
Asuros	True	Assurot
Asurot	True	Assurot
Atzeret	False	\N
Atzeres	False	Atzeret
avadim	True	\N
avaddim	True	avadim
aveil	True	\N
avel	True	aveil
aveilut	True	\N
aveilus	True	aveilut
avelus	True	aveilut
avelut	True	aveilut
Avinu	True	\N
avinu	True	Avinu
avodah	True	\N
avoda	True	avodah
Avodah	True	\N
Avoda	True	Avodah
Avot	True	\N
Avos	True	Avot
ba'al	True	\N
baal	True	ba'al
bakashah	True	\N
bakasha	True	bakashah
Barekhu	True	\N
barchu	True	Barekhu
Barchu	True	Barekhu
barechu	True	Barekhu
Barechu	True	Barekhu
barekhu	True	Barekhu
barkhu	True	Barekhu
Barkhu	True	Barekhu
Barukh	True	\N
baruch	True	Barukh
Baruch	True	Barukh
